network_code,receiver_code,receiver_type,receiver_latitude,receiver_longitude,receiver_elevation_m,p_arrival_sample,p_status,p_weight,p_travel_sec,s_arrival_sample,s_status,s_weight,source_id,source_origin_time,source_origin_uncertainty_sec,source_latitude,source_longitude,source_error_sec,source_gap_deg,source_horizontal_uncertainty_km,source_depth_km,source_depth_uncertainty_km,source_magnitude,source_magnitude_type,source_magnitude_author,source_mechanism_strike_dip_rake,source_distance_deg,source_distance_km,back_azimuth_deg,snr_db,coda_end_sample,trace_start_time,trace_category,trace_name
TA,109C,BH,32.8889,-117.1051,150.0,700.0,manual,0.5,17.079999923706055,1894.0,manual,0.5,8556349,2006-07-23 15:58:50.88,0.47,33.7496,-117.4938,1.1119,107.466,4.6403,0.45,None,3.6,ml,None,None,0.92,102.09,159.3,[56.79999924 55.40000153 47.40000153],2896.0,2006-07-23 15:59:00.960000,earthquake_local,109C.TA_20060723155859_EV
TA,109C,BH,32.8889,-117.1051,150.0,600.0,manual,0.5,16.8799991607666,1763.0,manual,0.5,8860238,2006-11-03 15:56:42.73,0.24,32.7077,-116.0446,0.899,37.593,2.9542,9.2,None,4.3,mb,None,None,0.91,101.34,281.7,[65.         65.5        61.40000153],5508.0,2006-11-03 15:56:53.610000,earthquake_local,109C.TA_20061103155652_EV
TA,109C,BH,32.8889,-117.1051,150.0,500.0,manual,0.5,17.260000228881836,1678.0,manual,0.5,8940123,2006-11-03 16:12:12.44,0.27,32.7253,-116.0348,0.8127,48.096,3.0397,12.66,None,3.6,ml,None,None,0.92,101.87,280.5,[37.20000076 42.         38.59999847],3114.0,2006-11-03 16:12:24.700000,earthquake_local,109C.TA_20061103161223_EV
TA,109C,BH,32.8889,-117.1051,150.0,900.0,manual,0.5,17.280000686645508,2086.0,manual,0.5,9443190,2006-11-14 13:32:14.26,0.25,32.7063,-116.0241,0.9173,43.783,2.6112,11.5,None,3.8,ml,None,None,0.93,103.26,281.6,[54.09999847 54.90000153 45.5       ],3152.0,2006-11-14 13:32:22.540000,earthquake_local,109C.TA_20061114133221_EV
TA,109C,BH,32.8889,-117.1051,150.0,700.0,manual,0.5,18.139999389648438,1897.0,manual,0.5,9443449,2006-11-27 10:46:29.92,0.67,31.9679,-117.1944,1.0362,182.145,5.6607,7.26,None,3.6,ml,None,None,0.92,102.48,4.7,[58.20000076 56.20000076 53.79999924],3134.0,2006-11-27 10:46:41.060000,earthquake_local,109C.TA_20061127104640_EV
TA,109C,BH,32.8889,-117.1051,150.0,700.0,manual,0.5,18.020000457763672,1953.0,manual,0.5,9084303,2006-11-29 12:17:35.10,0.26,32.8312,-115.9603,0.7948,44.55,2.6052,9.73,None,3.8,ml,None,None,0.96,107.34,273.7,[55.09999847 51.70000076 45.90000153],2754.0,2006-11-29 12:17:46.120000,earthquake_local,109C.TA_20061129121745_EV
TA,109C,BH,32.8889,-117.1051,150.0,900.0,manual,0.5,17.8700008392334,2184.0,manual,0.5,9084320,2006-11-29 21:10:55.02,0.3,32.8297,-115.9531,0.9905,45.342,2.948,2.1,None,4.1,ml,None,None,0.97,108.03,273.8,[55.         56.09999847 43.20000076],3199.0,2006-11-29 21:11:03.890000,earthquake_local,109C.TA_20061129211102_EV
TA,109C,BH,32.8889,-117.1051,150.0,800.0,manual,0.5,18.0,2038.0,manual,0.5,9443502,2006-11-29 21:12:52.12,0.37,32.8261,-115.9481,0.6943,103.739,4.0952,7.31,None,3.6,ml,None,None,0.98,108.52,274.0,[33.09999847 33.40000153 25.70000076],3199.0,2006-11-29 21:13:02.120000,earthquake_local,109C.TA_20061129211301_EV
TA,109C,BH,32.8889,-117.1051,150.0,800.0,manual,0.5,17.979999542236328,2062.0,manual,0.5,9443508,2006-11-29 22:15:38.65,0.27,32.8327,-115.9672,0.9011,44.847,2.4481,2.06,None,3.9,ml,None,None,0.96,106.69,273.7,[49.         48.         39.20000076],5252.0,2006-11-29 22:15:48.630000,earthquake_local,109C.TA_20061129221547_EV
TA,109C,BH,32.8889,-117.1051,150.0,600.0,manual,0.5,17.18000030517578,1777.0,manual,0.5,10382234,2007-01-09 14:01:55.05,0.29,32.7154,-116.0344,0.6401,48.945,3.3538,12.6,None,3.1,ml,None,None,0.92,102.11,281.1,[41.79999924 40.59999847 33.29999924],2964.0,2007-01-09 14:02:06.230000,earthquake_local,109C.TA_20070109140205_EV
TA,109C,BH,32.8889,-117.1051,150.0,500.0,manual,0.5,12.899999618530273,1416.0,manual,0.5,10388635,2007-01-17 16:07:47.08,0.46,32.9898,-116.303,0.6586,128.303,4.9956,8.72,None,3.7,ml,None,None,0.68,75.84,261.7,[45.         49.90000153 41.79999924],2663.0,2007-01-17 16:07:54.980000,earthquake_local,109C.TA_20070117160753_EV
TA,109C,BH,32.8889,-117.1051,150.0,900.0,manual,0.5,16.799999237060547,2041.0,manual,0.5,11499016,2007-02-09 03:33:42.80,0.24,33.2446,-116.1336,1.115,27.81,2.2574,8.38,None,4.2,ml,None,None,0.89,98.93,246.8,[65.         68.19999695 58.70000076],2866.0,2007-02-09 03:33:50.600000,earthquake_local,109C.TA_20070209033349_EV
TA,109C,BH,32.8889,-117.1051,150.0,400.0,manual,0.5,17.93000030517578,1642.0,manual,0.5,11510554,2007-02-26 18:18:20.12,0.35,32.6571,-116.0002,0.9153,61.622,3.9212,8.77,0.77,2.9,ml,None,None,0.96,106.66,284.2,[28.10000038 24.89999962 27.60000038],2951.0,2007-02-26 18:18:34.050000,earthquake_local,109C.TA_20070226181833_EV
TA,109C,BH,32.8889,-117.1051,150.0,900.0,manual,0.5,18.40999984741211,2198.0,manual,0.5,11688454,2007-03-01 14:37:44.22,0.29,33.2297,-116.0053,0.6974,43.866,2.5153,6.41,None,3.3,ml,None,None,0.98,109.44,250.1,[43.90000153 42.09999847 35.70000076],3022.0,2007-03-01 14:37:53.630000,earthquake_local,109C.TA_20070301143752_EV
